Vulnerability: CVE-2011-5000, found - 43
Vulnerability: CVE-2017-15906, found - 43
Vulnerability: CVE-2014-1692, found - 43
Vulnerability: CVE-2010-5107, found - 43
Vulnerability: CVE-2016-10708, found - 43
Vulnerability: CVE-2010-4478, found - 43
Vulnerability: CVE-2016-0777, found - 43
Vulnerability: CVE-2011-4327, found - 43
Vulnerability: CVE-2010-4755, found - 43
Vulnerability: CVE-2012-0814, found - 43
